dbDownloadFailure,SDM,expedited
securityViolation,BSR,expedited
suActivationFailure,SDM,expedited
suDownloadFailure,SDM,expedited
invalidDatabaseDetected,BSR,expedited
gpsServiceUnavailable,Radio,expedited
constraintsCheckFailure,BSR,expedited
pwdServiceProviderLoginFailure,BSR,expedited
nrRfConfigurationFailure,NRCellDU,expedited
nrPhaseSynchronisationFailure,Radio,expedited
nrRfTemperatureWarning,NRCellDU,expedited
nrRfTemperatureCritical,NRCellDU,expedited
nrRfTxPowerNotConverged,NRCellDU,expedited
nrFreqSynchronisationFailure,Radio,expedited
allAMFConnectionDown,HgNB,expedited
amfConnectionDown,HgNB,expedited
nrPCICollisionDetected,NRCellCU,expedited
nrPCIConfusionDetected,NRCellCU,expedited
ngapConnectionSetupFailure,HgNB,expedited
nrPCISelectionFailure,NRCellCU,expedited
cbsdRegistrationFailure,NRCbsd,expedited
cbsdSpectrumInquiryFailure,NRCbsd,expedited
cbsdCellGrantFailure,NRCellCBSD,expedited
cbsdHeartbeatFailure,NRCellCBSD,expedited
cbsdSASCommunicationError,NRCbsd,expedited
xnapConnectionDown,HgNB,expedited
gtpuPathFailure,HgNB,expedited
traceCollectionServerConnectionDown,NRCellCU,expedited
cbsdGrantSuspended,NRCbsd,expedited
cbsdPartialGrantSuspended,NRCellCBSD,expedited
cbsdStateChangeFailure,NRCellCBSD,expedited
cellConfigurationFailure,NRCellDU,expedited
cbsdConfigurationFailure,NRCbsd,expedited
spareBSRAlarm1,BSR,expedited
spareBSRAlarm2,BSR,expedited
spareBSRAlarm3,BSR,expedited
spareHgNBAlarm1,HgNB,expedited
spareHgNBAlarm2,HgNB,expedited
spareHgNBAlarm3,HgNB,expedited
spareHgNBAlarm4,HgNB,expedited
spareNRAlarm1,NRCellCU,expedited
spareNRAlarm2,NRCellCU,expedited
spareNRAlarm3,NRCellDU,expedited
spareNRAlarm4,NRCellDU,expedited
spareCBSDAlarm1,NRCbsd,expedited
spareCBSDAlarm2,NRCbsd,expedited
spareCBSDAlarm3,NRCbsd,expedited
invalidCBSDBandConfiguration,BSR,expedited
wifiEnabled,WiFi,expedited
defaultWiFiPassword,WiFi,expedited
ptpServiceUnavailable,Radio,expedited
onePPSServiceUnavailable,Radio,expedited
amfConnectionUnstable,HgNB,expedited
allAMFConnectionUnstable,HgNB,expedited
gtpuAllPathFailure,HgNB,expedited
gtuPathUnstable,HgNB,expedited
gtpuAllPathUnstable,HgNB,expedited
wifiUserAccountLocked,WiFi,expedited
nrDuCellSetupFailed,NRCellDU,expedited
nrBandNotSupported,BSR,expedited
nrOamCellOperationFailure,HgNB,expedited
underTemperature,Radio,expedited
tamperDetected,BSR,expedited
tunnelConfigFailure,IKESAPair,expedited
certificateEnrollmentFailure,CertificateEnrollment,expedited
aioscOutOfMemory,BSR,expedited
highTemperatureWarning,BSR,expedited
spareRadioAlarm1,Radio,expedited
spareNRAlarm5,NRCellDU,expedited
aioscOutOfService,BSR,expedited
nodeDiskFull,BSR,expedited
lowNodeAvailableCPU,BSR,expedited
nodeReboot,BSR,expedited
databaseCorruptionDetected,BSR,expedited
gNBOnFreeRunningClock,BSR,expedited
nrRfCalibrationFailure,Radio,expedited
